ID start end name
f0t0e0 74.44 79.08 stile
f0t0e1 79.08 83.12 rail
f0t0e2 88.04 91.04 rail
f0t0e3 95.68 99 rail
f0t0e4 101.88 105.08 stile
f0t0e5 115.84 120 seat
f0t0e6 126.72 129.88 rail
f0t0e7 159.84 161.52 rail
f0t0e8 163.04 166.4 thumbtack
f0t0e9 170.04 173.88 thumbtack
f0t0e10 177.76 181.88 thumbtack
f0t0e11 191.56 200.04 thumbtack
f0t0e12 207.48 211.52 thumbtack
f0t0e13 219.92 224.64 thumbtack
f0t0e14 233 240.52 thumbtack
f0t0e15 241.96 247.76 thumbtack
f0t0e16 252.84 256.16 rail
f0t0e17 291.52 297.76 thumbtack
f0t0e18 305.92 309.8 thumbtack
f0t0e19 322.04 326.6 tape
f0t0e20 327.8 335.48 scissors
f0t0e21 337.16 342.4 stickynotes
f0t0e22 348.24 350.8 marker
f0t0e23 488.16 491.4 stile
f0t0e24 492.08 494.6 rail
f0t0e25 497.16 499.64 rail
f0t0e26 501.56 503.84 rail
f0t0e27 510.64 513.48 stile
f0t0e28 522.76 527.16 seat
f0t0e29 530.48 536.52 thumbtack
f0t0e30 540.44 544.4 thumbtack
f0t0e31 548.48 552.16 thumbtack
f0t0e32 555.52 559.48 thumbtack
f0t0e33 563.24 566.96 thumbtack
f0t0e34 572.72 576.84 thumbtack
f0t0e35 579.24 584.36 thumbtack
f0t0e36 585.64 591.44 thumbtack
f0t0e37 595.44 599.6 thumbtack
f0t0e38 603.32 606.64 thumbtack
f0t0e39 607.76 611.2 rail
f0t0e40 619.48 623.2 rail
f0t0e41 628.2 631.24 rail
f0t0e42 650.64 655.28 thumbtack
f0t0e43 659.16 663.2 thumbtack
f0t0e44 666.2 669.68 thumbtack
f0t0e45 671.2 675.2 thumbtack
f0t0e46 676.96 680.84 thumbtack
f0t0e47 682.52 687.24 thumbtack
f0t0e48 688.4 695.04 stickynotes
f0t0e49 695.04 698.44 marker
f0t0e50 709.08 714.48 tape
f0t0e51 714.48 718.84 scissors
f0t0e52 830.16 833.56 stile
f0t0e53 833.56 836.36 rail
f0t0e54 836.36 840.28 rail
f0t0e55 840.28 843.4 rail
f0t0e56 845.4 848.96 stile
f0t0e57 849.64 855.56 rail
f0t0e58 858.16 861.12 rail
f0t0e59 878.08 882.24 thumbtack
f0t0e60 884.56 889.16 thumbtack
f0t0e61 892.52 896.08 thumbtack
f0t0e62 898.48 901.36 thumbtack
f0t0e63 901.36 905.52 thumbtack
f0t0e64 908.08 911.64 thumbtack
f0t0e65 915.8 919.2 seat
f0t0e66 925.84 929.92 thumbtack
f0t0e67 931.4 935.24 thumbtack
f0t0e68 937.12 941.08 thumbtack
f0t0e69 943.16 947.08 thumbtack
f0t0e70 1011 1019.12 thumbtack
f0t0e71 1021.84 1027.32 thumbtack
f0t0e72 1033.76 1037.96 thumbtack
f0t0e73 1040.56 1043.76 thumbtack
f0t0e74 1045.84 1049.8 rail
f0t0e75 1100.4 1104.44 thumbtack
f0t0e76 1106.64 1110.56 thumbtack
f0t0e77 1115.72 1124.8 tape
f0t0e78 1124.8 1127.68 stickynotes
f0t0e79 1127.68 1131.44 marker
f0t0e80 1139.96 1144.8 scissors
f0t0e81 1234.08 1236.96 stile
f0t0e82 1236.96 1239.16 rail
f0t0e83 1239.16 1241.88 rail
f0t0e84 1241.88 1244.56 rail
f0t0e85 1247 1250.12 stile
f0t0e86 1258.68 1263.4 thumbtack
f0t0e87 1265.04 1268.2 thumbtack
